mean,median,std,variance,minimum,maximum,range,rms,energy,absolute_mean,line_length,zero_crossings,skewness,kurtosis,iqr,crest_factor,shape_factor,impulse_factor,clearance_factor,hjorth_activity,hjorth_mobility,hjorth_complexity,delta_power,theta_power,alpha_power,beta_power,gamma_power,relative_delta,relative_theta,relative_alpha,relative_beta,relative_gamma,dominant_frequency,spectral_entropy,spectral_centroid,total_power,wavelet_entropy,wavelet_energy_0,wavelet_relative_energy_0,wavelet_mean_0,wavelet_std_0,wavelet_energy_1,wavelet_relative_energy_1,wavelet_mean_1,wavelet_std_1,wavelet_energy_2,wavelet_relative_energy_2,wavelet_mean_2,wavelet_std_2,wavelet_energy_3,wavelet_relative_energy_3,wavelet_mean_3,wavelet_std_3,wavelet_energy_4,wavelet_relative_energy_4,wavelet_mean_4,wavelet_std_4,file,class,label,label_name,binary_label
28.56782,29.345272,27.45427,753.73694,-62.787064,119.74435,182.5314,39.62142,6431705.0,32.512478,11857.04,108,0.07421819,-0.19646215,39.474289417266846,3.0222123,1.2186528,3.6830275,4.3104215,753.73694,0.13748102,3.396251,466.36872573673725,88.61602535292508,21.028920086352162,9.469463293735897,0.15419846723757025,0.6216369878003088,0.11811898189400565,0.02803008396097436,0.012622134189432145,0.00020553580334007582,0.6781640625,2.946505,2.5027657827284893,750.2267961676548,0.20516333,6340135.0,0.9561712,113.98775,101.56827,225243.05,0.03396945,-0.4077865,28.773829,62445.867,0.009417613,0.102163106,10.8849745,2825.5464,0.00042612752,0.020552471,1.650548,103.56047,1.5618207e-05,-0.00010636203,0.22437775,F001.txt,F,3,Preictal,0
31.781525,27.51647,132.94453,17674.248,-268.20697,887.2619,1155.4689,136.69057,76549624.0,86.19612,32181.748,70,2.1720738,8.83546,99.51146697998047,6.491025,1.5858088,10.293525,13.248178,17674.248,0.13836029,3.35844,10896.292027391195,2092.773091288805,659.2130473753808,291.15865847211325,3.967595609299825,0.5740217560904378,0.11024826445001495,0.03472765140112923,0.015338374193437738,0.00020901479084644862,0.6781640625,2.7831662,2.274221477276854,18982.36767470965,0.42613113,71401570.0,0.889223,140.67552,492.66232,6190826.0,0.077099495,1.8816582,150.85373,2473863.5,0.030809075,-1.1187918,68.50537,228303.06,0.0028432475,0.06479921,14.837556,2023.8262,2.5204386e-05,0.015428827,0.99178356,F002.txt,F,3,Preictal,0
-25.018288,-27.04206,70.59183,4983.206,-241.49763,171.62979,413.12744,74.894066,22980568.0,60.677097,38738.633,191,0.05103492,-0.29689097,96.29821395874023,3.224523,1.2343054,3.980046,4.666313,4983.206,0.19544543,2.7044995,3315.0167745736244,540.2287947396934,540.0207243796439,152.48390369454629,2.1772358149420694,0.6826729164609951,0.11125119175561023,0.11120834310379839,0.03140153981932784,0.00044836573226722396,1.6954101562500001,2.9182985,3.687619657819418,4855.9371474099335,0.67626995,18698356.0,0.7907069,-87.39077,247.1979,3207212.5,0.13562502,-2.6559901,108.5549,1552621.0,0.06565647,-0.9838059,54.26953,175050.02,0.007402429,-0.09490345,12.992123,14407.393,0.0006092527,-0.0020178123,2.6465216,F003.txt,F,3,Preictal,0
-35.248352,-35.811565,36.706696,1347.3816,-167.08725,71.77791,238.86516,50.89035,10610524.0,41.625893,18039.47,122,-0.12518214,0.33041,46.5701265335083,3.2832797,1.2225648,4.014022,4.6591396,1347.3816,0.1582965,2.5639062,773.12742708385,320.11602063439784,48.55959517452401,14.038582200722297,0.34993890776456305,0.5895849216635399,0.2441196267746768,0.03703141825529865,0.010705785485194463,0.0002668624812595327,1.356328125,3.17053,3.3968856698015655,1311.3080044558071,0.3276027,10007572.0,0.9139869,-140.57214,130.50677,822468.4,0.07511566,0.28645197,54.98817,115021.58,0.010504868,0.039015334,14.77348,4285.8687,0.0003914264,-0.028127937,2.0327709,12.349818,1.1279033e-06,-0.0012290252,0.077474445,F004.txt,F,3,Preictal,0
-15.553534,-25.291449,82.00509,6724.835,-384.9973,285.2641,670.2614,83.46705,28542766.0,65.472984,53898.945,218,0.34140652,0.9024117,98.28475952148438,4.6125665,1.2748319,5.880247,6.941854,6724.835,0.24576347,2.6433055,3688.1255500316624,1323.1976747274402,684.0677095609904,416.754559287317,12.496634206169983,0.5433190020330776,0.19492786521847927,0.10077395149374448,0.06139451278787845,0.0018409511101405986,1.6954101562500001,3.5434241,4.777826689776858,6788.140183264062,0.8174986,22004952.0,0.72204447,-53.41868,279.36896,5522271.0,0.18120126,-8.426834,142.23732,2425422.5,0.07958494,-2.7702343,67.78382,513262.47,0.016841587,-0.09191365,22.247267,9988.783,0.00032776012,-0.0078051286,2.2036185,F005.txt,F,3,Preictal,0
-33.692497,-33.842587,21.586119,465.9605,-108.94354,40.42683,149.37038,40.01431,6559891.0,34.727245,12018.342,56,-0.07378503,0.13647294,28.22361946105957,2.7226145,1.1522454,3.1371202,3.479743,465.9605,0.17243247,2.0893228,179.64822231173517,203.26397696508099,24.648698323073333,4.630551187994605,0.0539411734038663,0.39073026310775505,0.44209392209892584,0.05361028490627596,0.010071329739514329,0.00011732066482606625,5.08623046875,3.1152015,3.9466007600293938,459.7755517652136,0.24772398,6371046.5,0.94017446,-131.88045,77.65637,360796.34,0.053242665,-0.99583894,36.406944,43973.457,0.0064891567,-0.055875283,9.1344385,620.4463,9.155917e-05,0.006896466,0.7734735,14.736668,2.174688e-06,9.143476e-05,0.084641285,F006.txt,F,3,Preictal,0
-27.651564,-28.180079,35.744373,1277.6603,-173.51868,124.42481,297.94348,45.19147,8367177.0,36.245934,21793.83,180,0.09748501,1.0135908,44.925443172454834,3.8396332,1.2468011,4.787259,5.6337304,1277.6603,0.19736299,2.6278307,690.5651744431257,271.307252265662,105.0517902039271,48.14353480776742,0.7579159756138872,0.5321633892298493,0.20907481615295878,0.08095501885780253,0.03710037459312509,0.0005840652689434926,1.01724609375,3.3973565,3.9501504359559663,1297.6562995859533,0.47407025,7575168.0,0.86845887,-112.36721,123.383514,826169.9,0.09471665,0.8226702,55.106377,306849.4,0.0351789,-1.3694563,24.091108,14283.863,0.0016375806,0.0007432627,3.7113633,69.68121,7.988637e-06,-0.00015360709,0.184052,F007.txt,F,3,Preictal,0
-17.466381,-20.66657,103.10758,10631.174,-269.76126,736.86676,1006.62805,104.576515,44805810.0,65.984825,27383.676,151,2.3539689,10.772996,75.30168914794922,7.0461974,1.5848571,11.167215,15.04481,10631.174,0.14175367,2.8978913,6090.6709383595,1084.321642807424,440.6172483370452,114.21616291353942,0.9662909782801311,0.6108498977508027,0.10874955671407542,0.04419069817067132,0.011455048572369038,9.69119414352937e-05,0.6781640625,2.8913362,2.456937883034034,9970.814369922675,0.4967904,38467196.0,0.85686064,-64.60982,370.47144,4842236.0,0.107861295,-4.658564,133.34406,1519078.5,0.033837628,-0.34526834,53.687824,62362.527,0.0013891315,0.02193781,7.7548027,2298.3,5.1194864e-05,0.0051853135,1.0570146,F008.txt,F,3,Preictal,0
-6.3198133,-144.69075,439.3688,193044.94,-560.98505,2056.806,2617.791,439.41425,791068740.0,271.46753,92776.16,56,2.8772266,8.916942,279.42112731933594,4.6807904,1.6186622,7.5766187,9.759797,193044.94,0.1441707,3.133945,104630.60695409775,27989.95409568787,8815.069621453284,1603.1866045265456,79.04474489264655,0.576859359400029,0.154316862525305,0.04860007566551774,0.008838840035512871,0.00043579696448396656,0.6781640625,2.9807339,2.714627618923114,181379.75097243866,0.43195695,715215600.0,0.88273215,-87.82242,1619.1837,73071680.0,0.090186395,37.591953,516.9456,20438172.0,0.025225164,0.3525204,196.93143,1427811.8,0.0017622312,-0.16268794,37.105812,76234.05,9.4089446e-05,0.0031271635,6.0877566,F009.txt,F,3,Preictal,0
26.901424,23.692244,138.33015,19135.23,-238.69572,933.4858,1172.1815,140.92168,81361980.0,88.225075,35612.57,91,2.2108524,8.864159,105.6941909790039,6.624146,1.5972973,10.580731,13.698232,19135.23,0.14062792,3.5936902,10945.091527866125,1691.090958144665,441.19922162175175,354.36292804959925,5.248202722959976,0.6062726049518645,0.09367323405150157,0.02443899173564099,0.019628939140437358,0.00029070944980802286,0.6781640625,2.7952092,2.282414502956968,18053.08608449349,0.42303988,73128880.0,0.8891198,113.31877,505.9793,6665776.0,0.08104423,-5.2285724,156.45828,2210057.5,0.02687045,2.5338101,64.70887,235158.08,0.0028591126,0.0891497,15.058543,8749.905,0.00010638361,0.0073039196,2.0624423,F010.txt,F,3,Preictal,0
