class,file,length,mean,std,min,max,status,reason
F,F001.txt,4097,28.570417378569687,28.62507053383784,-64.0,123.0,VALID,
F,F002.txt,4097,31.778374420307543,133.47572179796714,-269.0,893.0,VALID,
F,F003.txt,4097,-25.015865267268733,71.95809056217087,-253.0,181.0,VALID,
F,F004.txt,4097,-35.25213570905541,37.80157249426841,-177.0,76.0,VALID,
F,F005.txt,4097,-15.550646814742494,84.28527598177443,-401.0,295.0,VALID,
F,F006.txt,4097,-33.69123749084696,22.86761048579896,-114.0,45.0,VALID,
F,F007.txt,4097,-27.657310226995364,38.71827632452503,-180.0,131.0,VALID,
F,F008.txt,4097,-17.464486209421526,103.7131790120796,-275.0,752.0,VALID,
F,F009.txt,4097,-6.316817183304857,440.0174760689693,-569.0,2047.0,VALID,
F,F010.txt,4097,26.902855748108372,138.8885405171625,-250.0,928.0,VALID,
F,F011.txt,4097,-32.22943617280937,56.85161397634454,-273.0,105.0,VALID,
F,F012.txt,4097,-2.3209665608982184,41.7157440562384,-152.0,173.0,VALID,
F,F013.txt,4097,15.009763241396143,24.4850784160549,-90.0,89.0,VALID,
F,F014.txt,4097,-16.21308274347083,29.295857196970434,-115.0,84.0,VALID,
F,F015.txt,4097,20.86185013424457,29.52686794226335,-84.0,103.0,VALID,
F,F016.txt,4097,0.32853307298022943,52.46512793863856,-174.0,180.0,VALID,
F,F017.txt,4097,-3.758847937515255,37.29923637767131,-124.0,105.0,VALID,
F,F018.txt,4097,1.4915792042958262,63.69240512002803,-262.0,228.0,VALID,
F,F019.txt,4097,-28.3060776177691,32.09002385652518,-298.0,65.0,VALID,
F,F020.txt,4097,13.973395167195509,38.40409888091466,-152.0,226.0,VALID,
F,F021.txt,4097,-21.464242128386623,143.14533359326433,-764.0,647.0,VALID,
F,F022.txt,4097,-16.655845740785942,69.81860933199734,-250.0,189.0,VALID,
F,F023.txt,4097,-7.76055650475958,65.18043169608244,-281.0,239.0,VALID,
F,F024.txt,4097,12.0136685379546,77.0749759939763,-265.0,245.0,VALID,
F,F025.txt,4097,6.03539175006102,91.16599117455057,-306.0,327.0,VALID,
F,F026.txt,4097,2.8918721015377105,20.675303423945067,-95.0,80.0,VALID,
F,F027.txt,4097,-40.00488162069807,62.59034164362387,-248.0,182.0,VALID,
F,F028.txt,4097,-34.71320478398828,39.51845243547741,-207.0,97.0,VALID,
F,F029.txt,4097,-13.156700024408103,103.86813305737279,-277.0,637.0,VALID,
F,F030.txt,4097,-38.859409323895534,143.95654110211552,-288.0,769.0,VALID,
F,F031.txt,4097,-9.058579448376861,89.12769844144124,-424.0,412.0,VALID,
F,F032.txt,4097,-19.669758359775447,82.16169336879219,-359.0,326.0,VALID,
F,F033.txt,4097,-10.485477178423237,41.67295810382077,-200.0,129.0,VALID,
F,F034.txt,4097,1.4515499145716377,24.385694621775453,-96.0,80.0,VALID,
F,F035.txt,4097,-9.117647058823529,41.64152871089086,-144.0,109.0,VALID,
F,F036.txt,4097,-4.3365877471320475,37.35263239797189,-167.0,104.0,VALID,
F,F037.txt,4097,23.210397852086892,47.722692365606164,-156.0,201.0,VALID,
F,F038.txt,4097,-11.993409812057603,54.603934440200824,-210.0,132.0,VALID,
F,F039.txt,4097,-16.458140102514033,61.76611714364191,-240.0,179.0,VALID,
F,F040.txt,4097,0.7815474737612887,30.395262391255923,-97.0,103.0,VALID,
F,F041.txt,4097,-9.065413717354161,74.83737876695542,-509.0,242.0,VALID,
F,F042.txt,4097,13.31828166951428,26.064811733750897,-73.0,102.0,VALID,
F,F043.txt,4097,22.897730046375397,64.5325962573511,-211.0,248.0,VALID,
F,F044.txt,4097,-72.59604588723457,51.809305757096475,-252.0,123.0,VALID,
F,F045.txt,4097,-12.377593360995851,45.249070326433525,-165.0,192.0,VALID,
F,F046.txt,4097,23.180864046863558,46.527336205048655,-128.0,166.0,VALID,
F,F047.txt,4097,54.94630217232121,57.07758463637333,-119.0,244.0,VALID,
F,F048.txt,4097,12.056870881132536,63.21867111939475,-202.0,204.0,VALID,
F,F049.txt,4097,-8.256773248718575,40.32232796990347,-169.0,140.0,VALID,
F,F050.txt,4097,7.2946058091286305,66.38279500359435,-305.0,198.0,VALID,
F,F051.txt,4097,-9.123505003661215,73.22227105125114,-246.0,219.0,VALID,
F,F052.txt,4097,-17.02782523797901,38.39336508790889,-182.0,136.0,VALID,
F,F053.txt,4097,-5.089089577739809,46.522970047929846,-164.0,147.0,VALID,
F,F054.txt,4097,-17.196973395167195,66.13041021425921,-300.0,219.0,VALID,
F,F055.txt,4097,-2.2858188918721014,59.371343122776786,-254.0,186.0,VALID,
F,F056.txt,4097,10.959726629240908,39.019869877736966,-125.0,132.0,VALID,
F,F057.txt,4097,28.16060532096656,49.2168303824713,-163.0,193.0,VALID,
F,F058.txt,4097,-4.462533561142299,33.38072803833747,-114.0,94.0,VALID,
F,F059.txt,4097,-7.343910178179155,44.14526697373474,-167.0,151.0,VALID,
F,F060.txt,4097,-21.078594093238955,315.03643481058657,-1147.0,1048.0,VALID,
