Feature,Importance
relative_alpha,546
skewness,506
relative_beta,489
hjorth_complexity,469
theta_power,460
wavelet_mean_2,447
wavelet_mean_4,419
relative_gamma,358
zero_crossings,331
kurtosis,330
wavelet_mean_3,306
wavelet_relative_energy_2,287
wavelet_mean_1,284
hjorth_mobility,277
relative_theta,255
wavelet_energy_1,245
dominant_frequency,241
wavelet_relative_energy_3,218
minimum,216
alpha_power,208
maximum,202
wavelet_energy_3,194
wavelet_energy_2,193
wavelet_energy_4,189
beta_power,183
relative_delta,177
shape_factor,174
median,164
mean,137
absolute_mean,136
gamma_power,129
line_length,126
impulse_factor,122
spectral_entropy,114
crest_factor,111
wavelet_std_1,110
clearance_factor,107
wavelet_energy_0,104
wavelet_relative_energy_1,101
delta_power,89
range,88
spectral_centroid,84
iqr,71
wavelet_mean_0,67
rms,62
wavelet_entropy,62
total_power,60
wavelet_relative_energy_0,51
std,49
wavelet_std_0,48
wavelet_std_3,42
wavelet_std_2,37
wavelet_std_4,25
energy,11
variance,9
hjorth_activity,1
