Rank,Feature,Combined_Score,Mutual_Information,ANOVA_F,RandomForest_Importance
1,hjorth_mobility,0.9622875177592949,0.6873787463510133,318.60892983535825,0.05818914109082266
2,spectral_centroid,0.7692225754700225,0.6269533704681989,272.80627100187337,0.038881614375499925
3,relative_alpha,0.6920074486229973,0.600638607269359,183.1715833750423,0.043588795034744006
4,relative_beta,0.6468768602194784,0.6066252128996876,67.50984894024238,0.05563058292365952
5,std,0.6462915137957924,0.6204934663354753,248.7242143445042,0.023324565480442285
6,wavelet_std_2,0.6434351545888741,0.7630397588455691,156.5783960046973,0.028070881418153813
7,hjorth_complexity,0.6431593468587761,0.5050003787586914,176.09583863097558,0.04392313370348129
8,iqr,0.6203397957206017,0.5610148729016493,270.647855557468,0.019730727076648663
9,absolute_mean,0.6131458883786052,0.5562988355038077,247.22908366022202,0.022930421711842272
10,wavelet_std_1,0.6073125295515546,0.6131175088377183,242.24295447431828,0.018590647285746772
11,line_length,0.6043268304443917,0.7268325312675317,189.58370543801257,0.018674114749147454
12,wavelet_relative_energy_2,0.5850467616551548,0.5879048055900578,152.05893503200983,0.032331326573848095
13,rms,0.5814222453974082,0.5166356254787243,241.1902523539707,0.02172083824245341
14,wavelet_energy_2,0.5655395086493414,0.7613706365418678,50.83101579736957,0.03359918533035858
15,wavelet_std_3,0.5638619818153333,0.7379412945201191,130.74936371582186,0.021323421899231632
16,relative_delta,0.5584278448259027,0.5716816494197252,189.91767348905148,0.02265880030730694
17,hjorth_activity,0.5446335641576817,0.6180695568573191,116.60643281895025,0.029544659305471288
18,total_power,0.5046313671622813,0.6016982918029061,117.11193674813401,0.02411203518494156
19,beta_power,0.494223744311899,0.7703497448688934,34.84574891897214,0.023971002313993236
20,variance,0.4919132467359692,0.6180695568573191,116.60643281895025,0.020889377176863698
21,wavelet_energy_1,0.48693704991624776,0.6081226517488298,91.89452584857828,0.02506595802765087
22,dominant_frequency,0.48251175914178696,0.6564595916383358,96.3380958702093,0.019968037957415315
23,range,0.4795412830488212,0.5098972454310449,224.6197123610131,0.008348202104812758
24,theta_power,0.47407804337242015,0.5785993658688047,79.6273072220103,0.027268291252306804
25,wavelet_std_0,0.4558898868323718,0.48915372287669445,192.85454388368836,0.011477866797225442
26,alpha_power,0.4522507361788409,0.666537787739611,75.16019111341191,0.017891253613699594
27,wavelet_energy_3,0.43758238957643353,0.7361692248957903,37.75683882911579,0.016721772903368
28,minimum,0.430380035038094,0.4766586819534351,186.45371025461878,0.009323379911811595
29,wavelet_entropy,0.4257224538860453,0.4508933525248007,181.4922882483986,0.011334900957666304
30,relative_gamma,0.4194701238744831,0.44494070901723815,33.70788828550154,0.036176586029653186
31,energy,0.41105607248205295,0.5203457199122723,116.83616555563128,0.014867511642895475
32,gamma_power,0.4071392759669204,0.6537962545789633,39.50045041792473,0.01757062477648265
33,maximum,0.3968253739822773,0.4573344143209517,179.45196928096314,0.006461129467213249
34,wavelet_relative_energy_0,0.37716137720479775,0.4160413030886212,161.47423089576722,0.009406945525965701
35,zero_crossings,0.3194015966165736,0.44061535901659443,88.46220759824477,0.01065113131620812
36,wavelet_energy_0,0.3077505679771539,0.4837725291876689,83.04694521188745,0.006449512142421767
37,wavelet_relative_energy_3,0.29360443483953225,0.4246590352319237,34.58007804390979,0.016876163629914065
38,spectral_entropy,0.2913176956988368,0.3297117230597544,84.53658942290002,0.014991595940609856
39,delta_power,0.258712341459332,0.4340563494632135,46.987520474857654,0.008312062532791447
40,wavelet_std_4,0.24292450555993775,0.3638362147442713,82.39604600872117,0.0048685509373233215
41,relative_theta,0.23052643149635613,0.29381709704344017,72.77155202553948,0.00971376435353584
42,wavelet_relative_energy_1,0.22627213719464542,0.32192194307204325,67.25500866522803,0.007867139097962368
43,wavelet_energy_4,0.18323243242808498,0.3627260395843743,23.288174262943194,0.005320104110010061
44,median,0.17623650946193722,0.41949340948159763,2.7741614017647733,0.003464621513461566
45,wavelet_mean_3,0.1751590249513394,0.3832826321931919,4.855277639950493,0.005631794367022666
46,wavelet_mean_4,0.17355208055822657,0.3605264434476987,5.901404413015423,0.006886100362098909
47,skewness,0.16222547956369712,0.28422900707484766,3.523874280586677,0.011128991720344737
48,kurtosis,0.14758178308270362,0.2555272337497101,9.482905260880342,0.009841487017229294
49,mean,0.14289884103682599,0.34441729990724346,1.368745702728862,0.0038355039230039733
50,wavelet_mean_2,0.14230817117028305,0.3053443865545762,1.7793802380825439,0.006583554640641506
51,wavelet_mean_1,0.13254167607521491,0.3226337597526303,0.5062205460833816,0.003909028153065313
52,wavelet_mean_0,0.08567187598942401,0.21406144590762333,1.6028136557930883,0.004127387191837334
53,wavelet_relative_energy_4,0.050283605116885864,0.1137958012978948,10.29421863053726,0.004304289647159638
54,clearance_factor,0.03863524384601436,0.08201889805765017,5.565473647616344,0.005576671685961953
55,impulse_factor,0.0248523099764604,0.0481407248249881,5.256352084305068,0.005895086531271906
56,shape_factor,0.01960865612444118,0.046578956005059347,6.182578744544291,0.0049914156353914165
57,crest_factor,0.015156949549250376,0.036985143476828686,4.846525037619868,0.005206311397908639
