Feature,Mean_SHAP
relative_beta,0.5217813330359118
relative_alpha,0.36135092721657674
hjorth_mobility,0.329709153931763
theta_power,0.257534506484938
wavelet_relative_energy_2,0.2315481122149334
hjorth_complexity,0.2027224006795559
alpha_power,0.19846930914504074
wavelet_energy_3,0.1982324927637986
wavelet_energy_1,0.17842967068146093
skewness,0.16531456205232767
wavelet_relative_energy_3,0.13794965528925393
dominant_frequency,0.1307164055519321
wavelet_mean_2,0.12147722333680527
line_length,0.10999489564885954
relative_delta,0.10863328093218648
absolute_mean,0.10648433316582105
relative_gamma,0.10270689290820718
wavelet_std_1,0.10056178804902412
wavelet_mean_3,0.09501165017931698
wavelet_energy_2,0.09360979338642594
wavelet_mean_4,0.0880153547606841
kurtosis,0.08670275653359727
maximum,0.08254789237195523
zero_crossings,0.06965283263244691
beta_power,0.060361437497079465
std,0.05815509720623561
wavelet_mean_1,0.0526662924148663
relative_theta,0.049370645077738126
gamma_power,0.04170685089318086
wavelet_std_3,0.038775890826611786
iqr,0.03684031519529209
minimum,0.032721031026160474
wavelet_energy_0,0.031316368030320015
spectral_entropy,0.028192916568640026
rms,0.028111774334705582
wavelet_energy_4,0.027973350136705252
impulse_factor,0.02604439325240094
shape_factor,0.025299964308766236
total_power,0.025189274078435665
spectral_centroid,0.024737273617207334
median,0.024512169915974488
wavelet_std_0,0.023949228014860775
range,0.01977369147784453
delta_power,0.01898842138916457
clearance_factor,0.01797005475036021
crest_factor,0.016591594192163456
wavelet_relative_energy_1,0.014334345426300556
wavelet_std_2,0.01428934384622475
mean,0.01085489558942457
wavelet_entropy,0.009077966204582018
wavelet_relative_energy_0,0.008250366191966112
wavelet_mean_0,0.00690558193561877
variance,0.006193176969338738
wavelet_std_4,0.002913135972550095
energy,0.0007679462708303673
hjorth_activity,0.00013072308297727855
