metric,historical_value,protocol_v1_value,source_script,definition_difference,explanation,authoritative_value
Model C False Alarm Rate (Clinical Episodes),12.56 FA/day,7.38 FA/day,scripts/generate_consistency_audit.py,Contiguous positive window runs (approx. 80 runs) vs. 3-window majority smoothed and merged alarm episodes (47 episodes),Protocol V1 applies 3-window majority filtering + 15s merge + 5s min duration per recording yielding 47 discrete episodes across 152.82h.,7.38 FA/day (47 episodes / 152.82h * 24)
Model C False Alarm Rate (Raw Windows),62.66 FA/day,62.66 Raw FP/day,research/phase_7/statistical_evaluator.py,Raw window false positive count (399 windows) vs. episode clustering,399 unclustered positive windows outside seizures across 152.82h (399 / 152.8231 * 24 = 62.66).,62.66 Raw FP windows / 24h
Model C False Alarm Rate (Global Harness),7.22 FA/day,7.38 FA/day,neuroaegis/eval/metrics.py,Flattened continuous array vs. per-recording boundary partitioning and exact EDF duration,Flattening continuous stream across recording boundaries merged 1 boundary alarm; per-recording partitioning gives 47 episodes = 7.38 FA/day.,7.38 FA/day
Model C Detection Delay,10.57 s,5.57 s,research/phase_4b/train_cnn_gnn_gru.py,Completion-based delay (window_end - seizure_start) vs. onset-based delay (window_start - seizure_start),The first detecting window of length 5.0s ends at start + 5.0s. Delay from seizure onset to window start is 5.57s; delay to window end is 10.57s.,5.57 s (Onset-based delay)
Model C Event Sensitivity,21/22 (95.45%),21/22 (95.45%),research/phase_4b/evaluate_phase_4b_test.py,Direct matching of detected seizure intervals,Identical across all implementations: exactly 21 of 22 seizures detected on locked test set.,21/22 (95.45%)
Model C AUROC,0.98970,0.98970,research/phase_7/statistical_evaluator.py,Unthresholded continuous probability rank ordering,Identical across all implementations (trapezoidal integration over 219,909 test windows).,0.98970
Model C AUPRC,0.80681,0.80681,research/phase_7/statistical_evaluator.py,Scikit-learn average precision score,Identical across all implementations (evaluated over 219,909 test windows with 637 positives).,0.80681
Model C Window Sensitivity,83.83%,83.83%,research/phase_4b/results/final_test_metrics.json,TP / (TP + FN) at tau = 0.50,534 TP / 637 positive windows = 83.8305%.,83.83% (534/637)
Model C Window Specificity,99.82%,99.82%,research/phase_4b/results/final_test_metrics.json,TN / (TN + FP) at tau = 0.50,218,873 TN / 219,272 negative windows = 99.8180%.,99.82% (218,873/219,272)
Model C Window Precision,57.24%,57.24%,research/phase_4b/results/final_test_metrics.json,TP / (TP + FP) at tau = 0.50,534 TP / 933 predicted positives = 57.2347%.,57.24% (534/933)
Model C Window F1 Score,0.68025,0.68025,research/phase_4b/results/final_test_metrics.json,Harmonic mean of precision and window sensitivity,2 * (0.57235 * 0.83830) / (0.57235 + 0.83830) = 0.68025.,0.68025
Model C Balanced Accuracy,91.82%,91.82%,research/phase_4b/results/final_test_metrics.json,Arithmetic mean of sensitivity and specificity,(83.8305% + 99.8180%) / 2 = 91.8243%.,91.82%
BENDR False Alarm Rate,0.00 FA/day,Continuous Alert (100% FP),research/experiments/pretrained/pilot/metrics.json,Naive alarm merging on collapsed all-positive stream vs. clinical burden reporting,BENDR predicts all windows positive (specificity=0.0%). Naive alarm merger produces 1 continuous alarm per recording overlapping true seizures.,Continuous Alert State (0.0% Spec, 34,435 Raw FP/day)
Siena Zero-Shot Delay,19.38 s,19.38 s,scripts/run_siena_zero_shot.py,First window start minus seizure onset,Calculated consistently on 4 detected Siena adult seizures.,19.38 s (Onset-based delay)
