suite_id,suite_name,model_name,parameters,decision_threshold,test_windows,monitoring_hours,auroc_stored,auroc_recomputed,auprc_stored,auprc_recomputed,win_sens_stored,win_sens_recomputed,win_spec_stored,win_spec_recomputed,win_f1_recomputed,event_sens_stored,event_sens_raw_overlap,event_sens_harness_2_5,delay_stored_sec,delay_start_sec,delay_end_sec,delay_harness_2_5_sec,false_positive_windows,fa_24h_stored,fa_24h_window_raw,fa_24h_harness_5_0,fa_24h_harness_2_5,discrepancy_flag,discrepancy_details
Suite 1,Temporal Model Comparison,Reference GRU,91858,0.5,219909,152.82,0.9834,0.9834,0.7545,0.7545,0.76766,0.76766,0.99875,0.99875,0.69907,0.9545,0.95455,0.95455,11.88,6.88,11.88,9.29,273,42.87,42.87,5.5,4.87,True,"Delay reported from window_end (11.88s) rather than window_start (6.88s, offset -5.0s); FA/24h reported as raw unclustered window false alarms (42.87) rather than clinical false alarm episodes (4.87 FA/day under protocol)"
Suite 1,Temporal Model Comparison,Causal LSTM,104274,0.5,219909,152.82,0.98641,0.98641,0.74638,0.74638,0.82104,0.82104,0.99726,0.99726,0.59398,0.9545,0.95455,0.95455,10.45,5.52,10.45,7.26,601,94.38,94.39,10.21,9.58,True,"Delay reported from window_end (10.45s) rather than window_start (5.52s, offset -5.0s); FA/24h reported as raw unclustered window false alarms (94.38) rather than clinical false alarm episodes (9.58 FA/day under protocol)"
Suite 1,Temporal Model Comparison,Causal TCN,112914,0.5,219909,152.82,0.98067,0.98067,0.71582,0.71582,0.87598,0.87598,0.9964,0.9964,0.56222,1.0,1.0,0.95455,10.68,5.91,10.68,6.43,790,124.07,124.07,13.03,12.25,True,"Delay reported from window_end (10.68s) rather than window_start (5.91s, offset -5.0s); FA/24h reported as raw unclustered window false alarms (124.07) rather than clinical false alarm episodes (12.25 FA/day under protocol)"
Suite 2,EEG-Specific Deep Learning,EEGNet,2113,0.5,219909,152.82,0.82506,0.82506,0.04037,0.04037,0.59498,0.59498,0.81417,0.81417,0.01815,1.0,1.0,0.90909,5.57,2.0,5.57,5.88,40748,6399.24,6399.37,356.34,173.38,True,"Delay reported from window_end (5.57s) rather than window_start (2.00s, offset -5.0s); FA/24h reported as raw unclustered window false alarms (6399.24) rather than clinical false alarm episodes (173.38 FA/day under protocol)"
Suite 2,EEG-Specific Deep Learning,ShallowConvNet,41041,0.5,219909,152.82,0.84763,0.84762,0.03746,0.03687,0.54317,0.54317,0.87588,0.87588,0.02454,0.9545,0.95455,0.90909,5.43,2.24,5.43,5.62,27217,4274.28,4274.36,508.83,297.45,True,"Delay reported from window_end (5.43s) rather than window_start (2.24s, offset -5.0s); FA/24h reported as raw unclustered window false alarms (4274.28) rather than clinical false alarm episodes (297.45 FA/day under protocol)"
Suite 2,EEG-Specific Deep Learning,DeepConvNet,178776,0.5,219909,152.82,0.85335,0.85335,0.07248,0.07248,0.47724,0.47724,0.89906,0.89906,0.02635,0.9091,0.90909,0.63636,16.45,12.12,16.45,9.11,22134,3476.02,3476.09,441.15,274.99,True,"Delay reported from window_end (16.45s) rather than window_start (12.12s, offset -5.0s); FA/24h reported as raw unclustered window false alarms (3476.02) rather than clinical false alarm episodes (274.99 FA/day under protocol)"
Suite 2,EEG-Specific Deep Learning,Lightweight 1D CNN,173601,0.5,219909,152.82,0.87227,0.87227,0.08721,0.08721,0.45055,0.45055,0.93765,0.93765,0.03933,1.0,1.0,0.68182,7.05,2.95,7.05,8.83,13672,2147.11,2147.15,337.97,232.12,True,"Delay reported from window_end (7.05s) rather than window_start (2.95s, offset -5.0s); FA/24h reported as raw unclustered window false alarms (2147.11) rather than clinical false alarm episodes (232.12 FA/day under protocol)"
Suite 3,Classical Machine Learning,Random Forest,0,0.4,219909,152.82,0.62465,0.62465,0.00407,0.00407,0.01884,0.01884,0.98656,0.98656,0.00667,0.0,0.45455,0.0,0.0,33.25,38.0,0.0,2947,80.57,462.82,80.57,65.17,False,Fully Consistent
Suite 3,Classical Machine Learning,XGBoost,0,0.65,219909,152.82,0.71778,0.71778,0.0098,0.0098,0.01413,0.01413,0.99762,0.99762,0.01541,0.0,0.27273,0.0,0.0,42.58,47.58,0.0,522,11.78,81.98,11.78,10.05,False,Fully Consistent
Suite 3,Classical Machine Learning,LightGBM,0,0.45,219909,152.82,0.69973,0.69973,0.00692,0.00692,0.06907,0.06907,0.98748,0.98748,0.02569,0.04545,0.59091,0.09091,30.0,23.15,27.65,27.5,2745,54.02,431.1,54.02,39.42,False,Fully Consistent
