tau,auroc,auprc,sensitivity,specificity,precision,f1_score,balanced_accuracy,event_sensitivity,detected_events,total_events,mean_detection_delay_sec,raw_fp_windows,raw_fp_windows_per_24h,false_alarm_episodes,fa_per_24h
0.05,0.91259,0.77098,1.0,0.00034,0.02791,0.05431,0.50017,1.0,3,3,0.0,2960,33529.2,2,22.65
0.1,0.91259,0.77098,0.97647,0.18879,0.0334,0.06459,0.58263,1.0,3,3,0.33,2402,27208.5,24,271.86
0.15,0.91259,0.77098,0.90588,0.58325,0.05873,0.11032,0.74457,1.0,3,3,3.5,1234,13978.05,60,679.65
0.2,0.91259,0.77098,0.83529,0.92638,0.24567,0.37968,0.88084,1.0,3,3,9.0,218,2469.38,20,226.55
0.25,0.91259,0.77098,0.78824,0.97264,0.4527,0.57511,0.88044,1.0,3,3,11.5,81,917.52,5,56.64
0.3,0.91259,0.77098,0.72941,0.98987,0.67391,0.70056,0.85964,1.0,3,3,18.17,30,339.82,2,22.65
0.35,0.91259,0.77098,0.70588,0.99426,0.77922,0.74074,0.85007,1.0,3,3,19.83,17,192.57,1,11.33
0.4,0.91259,0.77098,0.70588,0.99629,0.84507,0.76923,0.85108,1.0,3,3,19.83,11,124.6,0,0.0
0.45,0.91259,0.77098,0.67059,0.99764,0.89062,0.7651,0.83411,1.0,3,3,22.33,7,79.29,0,0.0
0.5,0.91259,0.77098,0.67059,0.99831,0.91935,0.77551,0.83445,1.0,3,3,22.33,5,56.64,0,0.0
0.55,0.91259,0.77098,0.6,0.99865,0.92727,0.72857,0.79932,1.0,3,3,24.83,4,45.31,0,0.0
0.6,0.91259,0.77098,0.50588,0.99966,0.97727,0.66667,0.75277,1.0,3,3,34.0,1,11.33,0,0.0
0.65,0.91259,0.77098,0.41176,1.0,1.0,0.58333,0.70588,1.0,3,3,38.17,0,0.0,0,0.0
0.7,0.91259,0.77098,0.23529,1.0,1.0,0.38095,0.61765,1.0,3,3,44.0,0,0.0,0,0.0
0.75,0.91259,0.77098,0.0,1.0,0.0,0.0,0.5,0.0,0,3,0.0,0,0.0,0,0.0
0.8,0.91259,0.77098,0.0,1.0,0.0,0.0,0.5,0.0,0,3,0.0,0,0.0,0,0.0
0.85,0.91259,0.77098,0.0,1.0,0.0,0.0,0.5,0.0,0,3,0.0,0,0.0,0,0.0
0.9,0.91259,0.77098,0.0,1.0,0.0,0.0,0.5,0.0,0,3,0.0,0,0.0,0,0.0
0.95,0.91259,0.77098,0.0,1.0,0.0,0.0,0.5,0.0,0,3,0.0,0,0.0,0,0.0
