node_index,channel_name,degree,component_id,self_loop_weight,neighbors_count,neighbors_list
0,FP1-F7,5,1,0.2964,5,FP1-F3; FP2-F4; FP2-F8; F8-T8; FT9-FT10
1,F7-T7,3,1,0.4085,3,F3-C3; FP2-F8; T7-FT9
2,T7-P7,2,1,0.4228,2,C3-P3; P7-T7
3,P7-O1,2,2,0.5341,2,P3-O1; P8-O2
4,FP1-F3,3,1,0.3434,3,FP1-F7; FP2-F4; FP2-F8
5,F3-C3,5,1,0.2992,5,F7-T7; F4-C4; FP2-F8; FZ-CZ; CZ-PZ
6,C3-P3,4,1,0.3796,4,T7-P7; C4-P4; CZ-PZ; P7-T7
7,P3-O1,2,2,0.4864,2,P7-O1; P4-O2
8,FP2-F4,3,1,0.347,3,FP1-F7; FP1-F3; FP2-F8
9,F4-C4,4,1,0.3405,4,F3-C3; FP2-F8; F8-T8; FZ-CZ
10,C4-P4,4,1,0.361,4,C3-P3; T8-P8; CZ-PZ; T8-P8.1
11,P4-O2,2,2,0.4706,2,P3-O1; P8-O2
12,FP2-F8,6,1,0.2627,6,FP1-F7; F7-T7; FP1-F3; F3-C3; FP2-F4; F4-C4
13,F8-T8,3,1,0.4235,3,FP1-F7; F4-C4; FT10-T8
14,T8-P8,2,1,0.4108,2,C4-P4; T8-P8.1
15,P8-O2,2,2,0.5151,2,P7-O1; P4-O2
16,FZ-CZ,2,1,0.4465,2,F3-C3; F4-C4
17,CZ-PZ,3,1,0.4157,3,F3-C3; C3-P3; C4-P4
18,P7-T7,2,1,0.4228,2,T7-P7; C3-P3
19,T7-FT9,1,1,0.6309,1,F7-T7
20,FT9-FT10,1,1,0.7213,1,FP1-F7
21,FT10-T8,1,1,0.6498,1,F8-T8
22,T8-P8.1,2,1,0.4108,2,C4-P4; T8-P8
