,FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8
FP1-F7,0.23041976409951273,0.0,0.0,0.0,0.1635018123257862,0.06796067682866506,0.0,0.0,0.12735709550853563,0.08461280289532341,0.0,0.0,0.11294176169336656,0.09878790395899292,0.0,0.0,0.07220139108916984,0.0,0.0,0.0,0.12455779231093532,0.0,0.0
F7-T7,0.0,0.2602728523779625,0.0,0.0,0.07793195163830699,0.10701373769846222,0.08236804476484866,0.0,0.07163872455331645,0.06777362714705532,0.0,0.0,0.09875028395823608,0.0,0.0,0.0,0.07694567155257351,0.0,0.0,0.23705786415703684,0.0,0.0,0.0
T7-P7,0.0,0.0,0.29461817377040633,0.0,0.0,0.06482527714973048,0.11624227731949793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08079580124268214,0.0,0.0,0.0,0.29461817377041605,0.0,0.09443081267705808,0.0,0.08079580124268214
P7-O1,0.0,0.0,0.0,0.4698860148197355,0.0,0.0,0.0,0.21771641325592336,0.0,0.0,0.0,0.11362214813482195,0.0,0.0,0.0,0.17513898869995975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP1-F3,0.16350181232578617,0.07793195163830699,0.0,0.0,0.28708279257588726,0.0,0.0,0.0,0.2170499244900588,0.0,0.0,0.0,0.13442389248864933,0.0,0.0,0.0,0.0739739533661341,0.0,0.0,0.0,0.0,0.0,0.0
F3-C3,0.06796067682866506,0.1070137376984622,0.06482527714973048,0.0,0.0,0.21272257761722319,0.0,0.0,0.0,0.1214842662331741,0.06726709867555593,0.0,0.08223168913096739,0.06716528023137631,0.0,0.0,0.14041945297579295,0.10051407691876213,0.06482527714971115,0.0,0.0,0.0,0.0
C3-P3,0.0,0.08236804476484867,0.11624227731949792,0.0,0.0,0.0,0.3436301377478637,0.0,0.0,0.0,0.11855716064705253,0.0,0.0,0.0,0.0,0.0,0.0,0.18479248982790417,0.11624227731948077,0.0,0.0,0.0,0.0
P3-O1,0.0,0.0,0.0,0.2177164132559234,0.0,0.0,0.0,0.4221775785285965,0.0,0.0,0.0,0.23885461416169695,0.0,0.0,0.0,0.1352977375682495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP2-F4,0.12735709550853563,0.07163872455331646,0.0,0.0,0.21704992449005883,0.0,0.0,0.0,0.29376455635678916,0.0,0.0,0.0,0.16578846771623618,0.0,0.0,0.0,0.06879804987659477,0.0,0.0,0.0,0.0,0.0,0.0
F4-C4,0.08461280289532343,0.0677736271470553,0.0,0.0,0.0,0.12148426623317408,0.0,0.0,0.0,0.2568348966703387,0.0,0.0,0.08430910978809521,0.1301748953964156,0.0,0.0,0.14920398327567677,0.10596194180363545,0.0,0.0,0.0,0.0,0.0
C4-P4,0.0,0.0,0.0,0.0,0.0,0.06726709867555593,0.11855716064705253,0.0,0.0,0.0,0.2817746530877343,0.0,0.0,0.07470029627463454,0.1342735868498952,0.0,0.06506141551980549,0.1667388068424634,0.0,0.0,0.0,0.0,0.1342735868498952
P4-O2,0.0,0.0,0.0,0.11362214813482195,0.0,0.0,0.0,0.23885461416169695,0.0,0.0,0.0,0.42001431484271357,0.0,0.0,0.0,0.2408187281774785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP2-F8,0.11294176169336656,0.09875028395823608,0.0,0.0,0.13442389248864933,0.08223168913096739,0.0,0.0,0.16578846771623618,0.08430910978809521,0.0,0.0,0.22468559572536698,0.0,0.0,0.0,0.07590915709431283,0.0,0.0,0.0,0.09955043113020727,0.0,0.0
F8-T8,0.09878790395899294,0.0,0.0,0.0,0.0,0.06716528023137631,0.0,0.0,0.0,0.13017489539641564,0.07470029627463452,0.0,0.0,0.3165873783166655,0.0,0.0,0.07842316122133963,0.0,0.0,0.0,0.0,0.24444355113436697,0.0
T8-P8,0.0,0.0,0.08079580124268215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1342735868498952,0.0,0.0,0.0,0.3395602881555164,0.0,0.0,0.0,0.08079580124266611,0.0,0.0,0.0,0.3395602881555164
P8-O2,0.0,0.0,0.0,0.17513898869995972,0.0,0.0,0.0,0.13529773756824948,0.0,0.0,0.0,0.24081872817747849,0.0,0.0,0.0,0.4436334356208854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FZ-CZ,0.07220139108916983,0.0769456715525735,0.0,0.0,0.07397395336613409,0.14041945297579295,0.0,0.0,0.06879804987659477,0.14920398327567677,0.06506141551980549,0.0,0.07590915709431283,0.07842316122133963,0.0,0.0,0.2333271238849213,0.0,0.0,0.0,0.0,0.0,0.0
CZ-PZ,0.0,0.0,0.0,0.0,0.0,0.10051407691876213,0.18479248982790417,0.0,0.0,0.10596194180363545,0.1667388068424634,0.0,0.0,0.0,0.0,0.0,0.0,0.3632899314459127,0.0,0.0,0.0,0.0,0.0
P7-T7,0.0,0.0,0.29461817377041605,0.0,0.0,0.06482527714971115,0.11624227731948075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807958012426661,0.0,0.0,0.0,0.2946181737704261,0.0,0.09443081267707719,0.0,0.0807958012426661
T7-FT9,0.0,0.23705786415703686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6309156822227722,0.0,0.0,0.0
FT9-FT10,0.1245577923109353,0.0,0.09443081267705807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09955043113020726,0.0,0.0,0.0,0.0,0.0,0.09443081267707719,0.0,0.45101819219765005,0.0,0.0
FT10-T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244443551134367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497965077848339,0.0
T8-P8,0.0,0.0,0.08079580124268215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1342735868498952,0.0,0.0,0.0,0.3395602881555164,0.0,0.0,0.0,0.08079580124266611,0.0,0.0,0.0,0.3395602881555164
