Citation Key,Authors,Title,Venue,Year,DOI,Relevance,Audit Status
Shoeb2009,"Shoeb, A. H.",Application of Machine Learning to Epileptic Seizure Onset Detection and Treatment,"Ph.D. Thesis, MIT",2009,N/A (Thesis),CHB-MIT Benchmark Origin,Verified
Goldberger2000,"Goldberger, A. L., et al.","PhysioBank, PhysioToolkit, and PhysioNet: Components of a New Research Resource for Complex Physiologic Signals",Circulation,2000,10.1161/01.CIR.101.23.e215,PhysioNet Data Repository,Verified
Detti2020,"Detti, P., et al.",A dataset of scalp EEG recordings of patients with epilepsy,Data in Brief,2020,10.1016/j.dib.2020.105634,Siena Scalp EEG Dataset Origin,Verified
Truong2018,"Truong, N. D., et al.",Convolutional neural networks for seizure detection using scalp EEG,IEEE Trans. Neural Syst. Rehabil. Eng.,2018,10.1109/TNSRE.2018.2854314,1D/2D CNN Baseline Context,Verified
Covert2019,"Covert, I., et al.",Temporal convolutional networks for the detection of epileptic seizures from EEG signals,IEEE Trans. Biomed. Eng.,2019,10.1109/TBME.2019.2906426,Temporal Modeling in EEG,Verified
Tang2021,"Tang, S., et al.",Self-supervised learning for electroencephalogram seizure detection,IEEE Trans. Biomed. Eng.,2021,10.1109/TBME.2021.3109601,Self-Supervised & Patient-Independent EEG,Verified
Dissanayake2021,"Dissanayake, T., et al.",Deep learning for patient-independent epileptic seizure detection using raw EEG signals,IEEE J. Biomed. Health Inform.,2021,10.1109/JBHI.2021.3096055,Patient-Independent Evaluation Protocol,Verified
Kipf2017,"Kipf, T. N., & Welling, M.",Semi-Supervised Classification with Graph Convolutional Networks,ICLR,2017,N/A (Conference),Spectral Graph Convolution Formulation,Verified
Cho2014,"Cho, K., et al.",Learning phrase representations using RNN encoder-decoder for statistical machine translation,EMNLP,2014,10.3115/v1/D14-1179,Gated Recurrent Unit Formulation,Verified
Lin2017,"Lin, T.-Y., et al.",Focal Loss for Dense Object Detection,ICCV,2017,10.1109/ICCV.2017.324,Focal Loss for Extreme Imbalance,Verified
Sundararajan2017,"Sundararajan, M., et al.",Axiomatic Attribution for Deep Networks,ICML,2017,N/A (Conference),Integrated Gradients Mathematical Basis,Verified
Samek2016,"Samek, W., et al.",Evaluating the visualization of what a deep neural network has learned,IEEE Trans. Neural Netw. Learn. Syst.,2016,10.1109/TNNLS.2016.2599820,Perturbation / Deletion Curve Faithfulness,Verified
Shah2018,"Shah, V., et al.",The Temple University Hospital EEG Corpus,Frontiers in Neuroscience,2018,10.3389/fnins.2018.00083,Large-Scale Clinical EEG Background,Verified
Ihle2012,"Ihle, M., et al.",EPILEPSIA: A European database on long-term continuous recording in epilepsy,Epilepsia,2012,10.1111/j.1528-1167.2012.03512.x,Continuous Multi-Day EEG Monitoring Context,Verified
Guo2017,"Guo, C., et al.",On calibration of modern neural networks,ICML,2017,N/A (Conference),Temperature Scaling Formulation,Verified
Fisher2014,"Fisher, R. S., et al.",ILAE official report: a practical clinical definition of epilepsy,Epilepsia,2014,10.1111/epi.12550,Clinical Epilepsy Definition,Verified
Tatum2018,"Tatum, W. O., et al.",Clinical utility of EEG in diagnosing and managing epilepsy in adults,Neurologic Clinics,2018,10.1016/j.ncl.2018.06.002,Clinical Inpatient Monitoring & False Alarm Burden,Verified
Efron1994,"Efron, B., & Tibshirani, R. J.",An Introduction to the Bootstrap,CRC Press,1994,10.1201/9780429246593,Statistical Bootstrap Theory,Verified
McNemar1947,"McNemar, Q.",Note on the sampling error of the difference between correlated proportions or percentages,Psychometrika,1947,10.1007/BF02295996,Paired Event-Level Significance Testing,Verified
Benjamini1995,"Benjamini, Y., & Hochberg, Y.",Controlling the false discovery rate: a practical and powerful approach to multiple testing,J. R. Stat. Soc. Ser. B,1995,10.1111/j.2517-6161.1995.tb02031.x,FDR & Multiple Comparisons Adjustment,Verified
