n,m,min_dur,merge_int,refract,total_episodes,tp_alarms,fp_alarms,fa_per_day,detected_events,total_events,event_sens,median_delay
1,1,0.0,0,0,816,18,798,93.99434238778501,15,25,0.6,81.5
1,1,0.0,0,15,663,15,648,76.32623291639685,15,25,0.6,81.5
1,1,0.0,0,30,590,15,575,67.72775297365462,15,25,0.6,81.5
1,1,0.0,0,60,502,15,487,57.36246208377356,15,25,0.6,81.5
1,1,0.0,0,120,404,12,392,46.17265941856106,12,25,0.48,96.25
1,1,0.0,5,0,696,15,681,80.21321700010225,15,25,0.6,92.5
1,1,0.0,5,15,624,15,609,71.73252445383594,15,25,0.6,92.5
1,1,0.0,5,30,555,15,540,63.60519409699737,15,25,0.6,92.5
1,1,0.0,5,60,482,15,467,55.006714154255135,15,25,0.6,92.5
1,1,0.0,5,120,394,12,382,44.994785453801846,12,25,0.48,97.25
1,1,0.0,10,0,641,15,626,73.7349101939266,15,25,0.6,92.5
1,1,0.0,10,15,612,15,597,70.31907569612488,15,25,0.6,92.5
1,1,0.0,10,30,532,15,517,60.896083978051195,15,25,0.6,92.5
1,1,0.0,10,60,464,15,449,52.88654101768856,15,25,0.6,92.5
1,1,0.0,10,120,385,12,373,43.93469888551856,12,25,0.48,97.25
1,1,0.0,15,0,597,15,582,68.55226474898606,15,25,0.6,92.5
1,1,0.0,15,15,597,15,582,68.55226474898606,15,25,0.6,92.5
1,1,0.0,15,30,517,15,502,59.12927303091237,15,25,0.6,92.5
1,1,0.0,15,60,447,15,432,50.8841552775979,15,25,0.6,92.5
1,1,0.0,15,120,376,12,364,42.87461231723527,12,25,0.48,97.25
1,1,0.0,20,0,552,15,537,63.25183190756961,15,25,0.6,92.5
1,1,0.0,20,15,552,15,537,63.25183190756961,15,25,0.6,92.5
1,1,0.0,20,30,507,15,492,57.951399066153165,15,25,0.6,92.5
1,1,0.0,20,60,425,15,410,48.29283255512764,15,25,0.6,92.5
1,1,0.0,20,120,367,12,355,41.81452574895198,12,25,0.48,97.25
1,1,0.0,30,0,489,15,474,55.83122592958659,15,25,0.6,92.5
1,1,0.0,30,15,489,15,474,55.83122592958659,15,25,0.6,92.5
1,1,0.0,30,30,489,15,474,55.83122592958659,15,25,0.6,92.5
1,1,0.0,30,60,406,15,391,46.054872022085135,15,25,0.6,92.5
1,1,0.0,30,120,352,12,340,40.047714801813164,12,25,0.48,97.25
1,1,0.0,60,0,373,15,358,42.16788793837974,15,25,0.6,92.5
1,1,0.0,60,15,373,15,358,42.16788793837974,15,25,0.6,92.5
1,1,0.0,60,30,373,15,358,42.16788793837974,15,25,0.6,92.5
1,1,0.0,60,60,373,15,358,42.16788793837974,15,25,0.6,92.5
1,1,0.0,60,120,310,12,298,35.100644149824475,12,25,0.48,97.25
1,1,5.0,0,0,816,18,798,93.99434238778501,15,25,0.6,81.5
1,1,5.0,0,15,663,15,648,76.32623291639685,15,25,0.6,81.5
1,1,5.0,0,30,590,15,575,67.72775297365462,15,25,0.6,81.5
1,1,5.0,0,60,502,15,487,57.36246208377356,15,25,0.6,81.5
1,1,5.0,0,120,404,12,392,46.17265941856106,12,25,0.48,96.25
1,1,5.0,5,0,696,15,681,80.21321700010225,15,25,0.6,92.5
1,1,5.0,5,15,624,15,609,71.73252445383594,15,25,0.6,92.5
