channel_1,channel_2,ch1_idx,ch2_idx,in_frozen_graph,frozen_graph_weight,mean_edge_sensitivity
T7-P7,P7-T7,2,18,True,0.4228,0.2529039978981018
T8-P8,T8-P8,14,22,True,0.4108,0.19402100145816803
T7-P7,C3-P3,2,6,True,0.1463,0.17857299745082855
T7-P7,CZ-PZ,2,17,False,0.0,0.16331100463867188
T7-P7,P7-O1,2,3,False,0.0,0.1626249998807907
T7-P7,P3-O1,2,7,False,0.0,0.15768499672412872
T7-P7,P8-O2,2,15,False,0.0,0.14521700143814087
T7-P7,T7-FT9,2,19,False,0.0,0.14327499270439148
T7-P7,F3-C3,2,5,False,0.0,0.14142900705337524
T7-P7,FT9-FT10,2,20,False,0.0,0.1403450071811676
T7-P7,F4-C4,2,9,False,0.0,0.13011899590492249
T8-P8,P8-O2,14,15,False,0.0,0.1292479932308197
T7-P7,FZ-CZ,2,16,False,0.0,0.12884899973869324
T7-P7,T8-P8,2,14,False,0.0,0.12773899734020233
T7-P7,T8-P8,2,22,False,0.0,0.12773899734020233
T8-P8,FT9-FT10,14,20,False,0.0,0.12729500234127045
T7-P7,C4-P4,2,10,False,0.0,0.12699800729751587
T7-P7,FP2-F8,2,12,False,0.0,0.12551699578762054
T7-P7,P4-O2,2,11,False,0.0,0.12503500282764435
T8-P8,FT10-T8,14,21,False,0.0,0.1198749989271164
T7-P7,FP1-F3,2,4,False,0.0,0.11848899722099304
T7-P7,F8-T8,2,13,False,0.0,0.1178480014204979
T7-P7,FT10-T8,2,21,False,0.0,0.11420100182294846
FT10-T8,T8-P8,21,22,False,0.0,0.11272300034761429
P7-O1,CZ-PZ,3,17,False,0.0,0.11232200264930725
T7-P7,FP2-F4,2,8,False,0.0,0.11178900301456451
T8-P8,P7-T7,14,18,False,0.0,0.10350599884986877
T8-P8,CZ-PZ,14,17,False,0.0,0.10021500289440155
C3-P3,P7-T7,6,18,True,0.1463,0.08907099813222885
P7-O1,C3-P3,3,6,False,0.0,0.08850199729204178
P7-O1,F3-C3,3,5,False,0.0,0.08736100047826767
T8-P8,T7-FT9,14,19,False,0.0,0.08716300129890442
C3-P3,CZ-PZ,6,17,True,0.1942,0.08180999755859375
P7-O1,T8-P8,3,22,False,0.0,0.08128999918699265
P7-O1,T8-P8,3,14,False,0.0,0.08128999918699265
P7-O1,P3-O1,3,7,True,0.2321,0.08094000071287155
T8-P8,FZ-CZ,14,16,False,0.0,0.08084399998188019
P7-T7,FT9-FT10,18,20,False,0.0,0.08054199814796448
FP1-F7,FT9-FT10,0,20,True,0.1423,0.0797019973397255
FP1-F7,FP2-F8,0,12,True,0.1129,0.07709600031375885
FP1-F7,P8-O2,0,15,False,0.0,0.0746539980173111
P3-O1,CZ-PZ,7,17,False,0.0,0.07415399700403214
FP1-F7,FT10-T8,0,21,False,0.0,0.07396499812602997
P4-O2,FT9-FT10,11,20,False,0.0,0.07314600050449371
CZ-PZ,T8-P8,17,22,False,0.0,0.07179199904203415
FP1-F7,T8-P8,0,14,False,0.0,0.07177499681711197
FP1-F7,T8-P8,0,22,False,0.0,0.07177499681711197
FP1-F7,F8-T8,0,13,True,0.1143,0.07176099717617035
P7-O1,FZ-CZ,3,16,False,0.0,0.07142499834299088
C4-P4,T8-P8,10,14,True,0.1672,0.0709720030426979
C4-P4,T8-P8,10,22,True,0.1672,0.0709720030426979
FP1-F7,F4-C4,0,9,True,0.0876,0.07034099847078323
FP1-F7,F3-C3,0,5,True,0.0771,0.06960800290107727
P8-O2,CZ-PZ,15,17,False,0.0,0.06945499777793884
P7-O1,F8-T8,3,13,False,0.0,0.06937400251626968
FP1-F7,P3-O1,0,7,False,0.0,0.06934099644422531
P7-O1,T7-FT9,3,19,False,0.0,0.06895499676465988
