model_id,model_name,classification,phase,parameters,test_auroc,test_auprc,test_f1,window_sensitivity,window_specificity,event_sensitivity,detected_events,fa_per_24h,detection_delay_sec,latency_mps_ms,memory_mb,xai_status,cross_domain_status,checkpoint,checkpoint_sha256,status
MOD-DL-A-CNN,Model A (1D-CNN Baseline),BASELINE,Phase 3,173601,0.36389,0.04148,0.01553,0.16013,0.94347,0.5455,12,1946.6,9.58,0.45,18.4,NO,NOT TESTED,research/phase_3/best_cnn_baseline.pt,6d700012cdd4add4c507029ae70f54ca7a2fdd8302cef0a7c90a9fd164b9f589,FROZEN
MOD-DL-B-GNN-FROZEN,Model B (1D-CNN + Spatial GNN),ABLATION,Phase 4A / 4A-C,52497,0.19431,0.00492,0.02784,0.04239,0.99418,0.2727,6,200.39,7.08,0.82,22.6,NO,NOT TESTED,research/phase_4a/frozen_cnn_gnn.pt,b62bcf0c4e8821759a2a0d9c69df0be2caec242d707fcb4f26cb0ac8e2e9affa,FROZEN
MOD-DL-B-GNN-EXP01,Model B Exploration (Phase 4A Exp 01),EXPERIMENTAL,Phase 4A,52497,0.16976,0.00451,0.02335,0.03297,0.9948,1.0,22,179.19,6.5,0.82,22.6,NO,NOT TESTED,research/phase_4a/cnn_gnn/exp_01/best_cnn_gnn.pt,316a496885b30b60ed3aa696af18527d120c627b053d3933c99c7a2986cd0467,LEGACY
MOD-DL-B-GNN-THETA025,Model B Graph Ablation (θ=0.25),ABLATION,Phase 4A-C,52497,N/A,N/A,N/A,0.03518,0.90027,0.44,11,3438.1,33.91,0.82,22.6,NO,NOT TESTED,research/phase_4a_c/theta_025/best_cnn_gnn.pt,d081a2745b0bf957f54f157c260f65bc10452e9e752c6ccefcf9f34b4fbc1234,EXPERIMENTAL
MOD-DL-C-FINAL,Model C (CNN + Spatial GNN + Causal GRU),FINAL,Phase 4B / Phase 7 / Phase 8,91858,0.9897,0.80681,0.68025,0.8383,0.99818,0.9545,21,62.66,10.57,1.42,26.8,YES (IG + GradxInput + Temporal),EVALUATED (Siena Zero-shot & Adapted),research/phase_4b/frozen_cnn_gnn_gru.pt,2ec84897c39d31d68cfbf1f7e5c8708d5073fe19450576bf4f9132929c1832ca,FROZEN (Authoritative)
MOD-DL-C-L01,"Model C Context Ablation (L=1, 5.0s)",ABLATION,Phase 4B,91858,N/A,N/A,N/A,0.57645,0.97964,0.64,16,701.57,7.78,1.42,26.8,NO,NOT TESTED,research/phase_4b/experiments/L1/best_model.pt,b2ee91f1d8df8b4f3cef8d14173e04efc2fe90cd4d76a0d2a9d92aeb9c6d45d8,EXPERIMENTAL
MOD-DL-C-L04,"Model C Context Ablation (L=4, 12.5s)",ABLATION,Phase 4B,91858,N/A,N/A,N/A,0.57645,0.99309,0.6,15,238.1,9.97,1.42,26.8,NO,NOT TESTED,research/phase_4b/experiments/L4/best_model.pt,838500ace976d6f33589e3f7d5d46a3f063336f586e24d49b3c274817700d370,EXPERIMENTAL
MOD-DL-C-L12,"Model C Context Ablation (L=12, 32.5s)",ABLATION,Phase 4B,91858,N/A,N/A,N/A,0.73072,0.93716,0.64,16,2165.47,8.28,1.42,26.8,NO,NOT TESTED,research/phase_4b/experiments/L12/best_model.pt,30bc620e3ee36598aacd63d36ec1a610ae07259d5f40f715d8cd488e040fe945,EXPERIMENTAL
MOD-ATTN-POOL-001,Channel Attention Pooling (λ=0.01),EXPERIMENTAL,Prototype (Phase 0/API),33817,0.9286828278455961,0.6111730396927785,N/A,0.4423076923076923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES (Channel Attention Weights),EVALUATED (Bonn Zero-shot),apps/api/models/chbmit/attention_pooling/model_fold_0.pt,c354f6b20ad7a62d5a951abc6ac6f960174319992d803913a5541dcf2418a405,LEGACY PROTOTYPE
MOD-ATTN-POOL-0001,Channel Attention Pooling (λ=0.001),EXPERIMENTAL,Prototype (Phase 0/API),33817,0.9010392384760065,0.44396141481916784,N/A,0.3269230769230769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES (Channel Attention Weights),EVALUATED (Bonn Zero-shot),apps/api/models/chbmit/attention_lambda_0001/model_fold_0.pt,1d516532f2874798787f69a823e7115d582dbec0bff7203d77a2d174c923778d,LEGACY PROTOTYPE
