node_index,channel_name,phase1_index,phase2_index,phase3_index,phase4a_index,identical
0,FP1-F7,0,0,0,0,True
1,F7-T7,1,1,1,1,True
2,T7-P7,2,2,2,2,True
3,P7-O1,3,3,3,3,True
4,FP1-F3,4,4,4,4,True
5,F3-C3,5,5,5,5,True
6,C3-P3,6,6,6,6,True
7,P3-O1,7,7,7,7,True
8,FP2-F4,8,8,8,8,True
9,F4-C4,9,9,9,9,True
10,C4-P4,10,10,10,10,True
11,P4-O2,11,11,11,11,True
12,FP2-F8,12,12,12,12,True
13,F8-T8,13,13,13,13,True
14,T8-P8,14,14,14,14,True
15,P8-O2,15,15,15,15,True
16,FZ-CZ,16,16,16,16,True
17,CZ-PZ,17,17,17,17,True
18,P7-T7,18,18,18,18,True
19,T7-FT9,19,19,19,19,True
20,FT9-FT10,20,20,20,20,True
21,FT10-T8,21,21,21,21,True
22,T8-P8,22,22,22,-1,False
