,FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8
FP1-F7,0.2964074498529873,0.0,0.0,0.0,0.20280493045497125,0.0,0.0,0.0,0.15697993289445172,0.0,0.0,0.0,0.13851404528439323,0.12959065388640015,0.0,0.0,0.0,0.0,0.0,0.0,0.17865596095900077,0.0,0.0
F7-T7,0.0,0.4084718508419847,0.0,0.0,0.0,0.15898701444332713,0.0,0.0,0.0,0.0,0.0,0.0,0.13377025211394622,0.0,0.0,0.0,0.0,0.0,0.0,0.2969757569619892,0.0,0.0,0.0
T7-P7,0.0,0.0,0.4227734805785105,0.0,0.0,0.0,0.14634515720225114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42277348057851616,0.0,0.0,0.0,0.0
P7-O1,0.0,0.0,0.0,0.5340697839350108,0.0,0.0,0.0,0.24913251186415705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2011901142437069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP1-F3,0.20280493045497125,0.0,0.0,0.0,0.34335996114429673,0.0,0.0,0.0,0.25796879973738385,0.0,0.0,0.0,0.15896527774436486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3-C3,0.0,0.1589870144433271,0.0,0.0,0.0,0.2991744953023886,0.0,0.0,0.0,0.1658891173104188,0.0,0.0,0.10545065046987795,0.0,0.0,0.0,0.23035479585103008,0.1275065102300302,0.0,0.0,0.0,0.0,0.0
C3-P3,0.0,0.0,0.14634515720225114,0.0,0.0,0.0,0.37955221791851657,0.0,0.0,0.0,0.1410265620560398,0.0,0.0,0.0,0.0,0.0,0.0,0.20774206368032577,0.14634515720222666,0.0,0.0,0.0,0.0
P3-O1,0.0,0.0,0.0,0.24913251186415708,0.0,0.0,0.0,0.48637153294164737,0.0,0.0,0.0,0.27136096298956897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP2-F4,0.15697993289445172,0.0,0.0,0.0,0.2579687997373838,0.0,0.0,0.0,0.3469540764099652,0.0,0.0,0.0,0.19482522152461024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4-C4,0.0,0.0,0.0,0.0,0.0,0.1658891173104188,0.0,0.0,0.0,0.3405169810939882,0.0,0.0,0.10497150808494693,0.1733623659672013,0.0,0.0,0.23764970544223749,0.0,0.0,0.0,0.0,0.0,0.0
C4-P4,0.0,0.0,0.0,0.0,0.0,0.0,0.1410265620560398,0.0,0.0,0.0,0.3609673278882075,0.0,0.0,0.0,0.16716551401955052,0.0,0.0,0.20186901113818337,0.0,0.0,0.0,0.0,0.16716551401955052
P4-O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27136096298956897,0.0,0.0,0.0,0.47056387299763497,0.0,0.0,0.0,0.2746556634383223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP2-F8,0.13851404528439323,0.13377025211394625,0.0,0.0,0.1589652777443649,0.10545065046987794,0.0,0.0,0.19482522152461024,0.10497150808494693,0.0,0.0,0.2627146882235118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8-T8,0.12959065388640015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17336236596720134,0.0,0.0,0.0,0.42351035155966804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28272473197018605,0.0
