,FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8
FP1-F7,0.2304197640995127,0.0,0.0,0.0,0.1788108284954197,0.0771319603588515,0.0,0.0,0.1384074430293233,0.0876134543541541,0.0,0.0,0.1129417616933665,0.1142586234698831,0.0,0.0,0.0836241152009953,0.0,0.0,0.0,0.142286668946044,0.0,0.0
F7-T7,0.0,0.3622678982677818,0.0,0.0,0.0,0.1432902686617069,0.0,0.0,0.0,0.0,0.0,0.0,0.1165034652399477,0.0,0.0,0.0,0.1051406493415326,0.0,0.0,0.2796757794474388,0.0,0.0,0.0
T7-P7,0.0,0.0,0.4227734805785105,0.0,0.0,0.0,0.1463451572022511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4227734805785161,0.0,0.0,0.0,0.0
P7-O1,0.0,0.0,0.0,0.5340697839350108,0.0,0.0,0.0,0.2321100339450896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1867177398539581,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP1-F3,0.1788108284954197,0.0,0.0,0.0,0.3433599611442967,0.0,0.0,0.0,0.2579687997373838,0.0,0.0,0.0,0.1470102822932671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3-C3,0.0771319603588515,0.1432902686617069,0.0,0.0,0.0,0.2740103293857172,0.0,0.0,0.0,0.1427681824863686,0.0,0.0,0.093328843711808,0.0,0.0,0.0,0.1845822439560696,0.1140784370931168,0.0,0.0,0.0,0.0,0.0
C3-P3,0.0,0.0,0.1463451572022511,0.0,0.0,0.0,0.3795522179185165,0.0,0.0,0.0,0.1410265620560398,0.0,0.0,0.0,0.0,0.0,0.0,0.194211284526398,0.1463451572022266,0.0,0.0,0.0,0.0
P3-O1,0.0,0.0,0.0,0.2321100339450897,0.0,0.0,0.0,0.4221775785285965,0.0,0.0,0.0,0.2528196816207788,0.0,0.0,0.0,0.1352977375682495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP2-F4,0.1384074430293232,0.0,0.0,0.0,0.2579687997373838,0.0,0.0,0.0,0.3469540764099652,0.0,0.0,0.0,0.180173376353545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4-C4,0.0876134543541541,0.0,0.0,0.0,0.0,0.1427681824863686,0.0,0.0,0.0,0.2753743440603624,0.0,0.0,0.0872989912790953,0.1559003808093809,0.0,0.0,0.1789373948057964,0.1097197047469924,0.0,0.0,0.0,0.0,0.0
C4-P4,0.0,0.0,0.0,0.0,0.0,0.0,0.1410265620560398,0.0,0.0,0.0,0.3609673278882075,0.0,0.0,0.0,0.1671655140195505,0.0,0.0,0.1887207591215109,0.0,0.0,0.0,0.0,0.1671655140195505
P4-O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2528196816207788,0.0,0.0,0.0,0.4705638729976349,0.0,0.0,0.0,0.2548986311184872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
