group,metric,mean,std,median,ci_95_lower,ci_95_upper,bootstrap_iterations,resampling_scheme
Model A,AUROC,0.37444,0.06734,0.36389,0.27661,0.51124,5000,Patient-Cluster Resampling (N=4)
Model A,AUPRC,0.05679,0.02054,0.05573,0.02864,0.10277,5000,Patient-Cluster Resampling (N=4)
Model A,F1 Score,0.04592,0.04894,0.01553,0.00923,0.14104,5000,Patient-Cluster Resampling (N=4)
Model A,Balanced Accuracy,0.55285,0.02126,0.5518,0.52047,0.60537,5000,Patient-Cluster Resampling (N=4)
Model A,False Alarms / 24h,1930.51275,1577.46719,1946.56493,12.52643,5545.80995,5000,Patient-Cluster Resampling (N=4)
Model A,Event Sensitivity (Strict),0.54475,0.10623,0.54545,0.31818,0.72727,5000,Event Resampling (N=22)
Model B,AUROC,0.20769,0.09924,0.19431,0.08104,0.47754,5000,Patient-Cluster Resampling (N=4)
Model B,AUPRC,0.01855,0.0362,0.00499,0.00159,0.13309,5000,Patient-Cluster Resampling (N=4)
Model B,F1 Score,0.04449,0.05441,0.02784,0.0,0.22709,5000,Patient-Cluster Resampling (N=4)
Model B,Balanced Accuracy,0.52097,0.01919,0.51828,0.49972,0.57302,5000,Patient-Cluster Resampling (N=4)
Model B,False Alarms / 24h,198.68415,158.55721,200.38861,3.79854,569.46003,5000,Patient-Cluster Resampling (N=4)
Model B,Event Sensitivity (Strict),0.2732,0.09478,0.27273,0.09091,0.45455,5000,Event Resampling (N=22)
Model C,AUROC,0.98978,0.00292,0.9897,0.98448,0.99528,5000,Patient-Cluster Resampling (N=4)
Model C,AUPRC,0.80909,0.04066,0.81119,0.69887,0.87377,5000,Patient-Cluster Resampling (N=4)
Model C,F1 Score,0.69108,0.06191,0.68025,0.59366,0.82164,5000,Patient-Cluster Resampling (N=4)
Model C,Balanced Accuracy,0.91829,0.00944,0.91824,0.90187,0.9374,5000,Patient-Cluster Resampling (N=4)
Model C,False Alarms / 24h,62.50121,30.15085,62.6607,13.92798,127.97922,5000,Patient-Cluster Resampling (N=4)
Model C,Event Sensitivity (Strict),0.95454,0.04472,0.95455,0.86364,1.0,5000,Event Resampling (N=22)
Delta C-A,AUROC,0.61534,0.06975,0.62581,0.4753,0.71806,5000,Patient-Cluster Resampling (N=4)
Delta C-A,AUPRC,0.75231,0.04307,0.76533,0.6309,0.80595,5000,Patient-Cluster Resampling (N=4)
Delta C-A,F1 Score,0.64516,0.03423,0.6316,0.58502,0.70464,5000,Patient-Cluster Resampling (N=4)
Delta C-A,Balanced Accuracy,0.36545,0.02214,0.36644,0.32568,0.40678,5000,Patient-Cluster Resampling (N=4)
Delta C-A,False Alarms / 24h,-1868.01154,1549.17782,-1883.90422,-5410.64447,19.55346,5000,Patient-Cluster Resampling (N=4)
Delta C-A,Event Sensitivity (Strict),0.40979,0.12379,0.40909,0.18182,0.63636,5000,Event Resampling (N=22)
Delta C-B,AUROC,0.78209,0.10021,0.79539,0.50985,0.90861,5000,Patient-Cluster Resampling (N=4)
Delta C-B,AUPRC,0.79054,0.06025,0.80188,0.64544,0.86004,5000,Patient-Cluster Resampling (N=4)
Delta C-B,F1 Score,0.64659,0.06434,0.63776,0.54685,0.78635,5000,Patient-Cluster Resampling (N=4)
Delta C-B,Balanced Accuracy,0.39733,0.0168,0.39996,0.35089,0.4212,5000,Patient-Cluster Resampling (N=4)
Delta C-B,False Alarms / 24h,-136.18294,130.10968,-137.72791,-434.29456,22.60194,5000,Patient-Cluster Resampling (N=4)
Delta C-B,Event Sensitivity (Strict),0.68134,0.10003,0.68182,0.45455,0.86364,5000,Event Resampling (N=22)
