model_id,architecture_name,brier_score,ece,mce,bin_idx,bin_lower,bin_upper,sample_count,mean_confidence,empirical_accuracy,calibration_error
Model A,1D CNN Baseline,0.071546,0.21018,0.81732,1,0.0,0.1,60637,0.04447,0.00597,0.0385
Model A,1D CNN Baseline,0.071546,0.21018,0.81732,2,0.1,0.2,48115,0.15077,0.00154,0.14923
Model A,1D CNN Baseline,0.071546,0.21018,0.81732,3,0.2,0.3,63667,0.2511,0.00071,0.2504
Model A,1D CNN Baseline,0.071546,0.21018,0.81732,4,0.3,0.4,23455,0.34303,0.00141,0.34162
Model A,1D CNN Baseline,0.071546,0.21018,0.81732,5,0.4,0.5,11538,0.44497,0.00182,0.44315
Model A,1D CNN Baseline,0.071546,0.21018,0.81732,6,0.5,0.6,6498,0.54521,0.00416,0.54106
Model A,1D CNN Baseline,0.071546,0.21018,0.81732,7,0.6,0.7,3462,0.64459,0.00751,0.63708
Model A,1D CNN Baseline,0.071546,0.21018,0.81732,8,0.7,0.8,1809,0.74329,0.00498,0.73831
Model A,1D CNN Baseline,0.071546,0.21018,0.81732,9,0.8,0.9,617,0.83839,0.02107,0.81732
Model A,1D CNN Baseline,0.071546,0.21018,0.81732,10,0.9,1.0,111,0.9319,0.24324,0.68866
Model B,CNN + Spatial GNN (theta=0.30),0.06121,0.22421,0.80785,1,0.0,0.1,16418,0.06294,0.02674,0.0362
Model B,CNN + Spatial GNN (theta=0.30),0.06121,0.22421,0.80785,2,0.1,0.2,60307,0.15722,0.00116,0.15606
Model B,CNN + Spatial GNN (theta=0.30),0.06121,0.22421,0.80785,3,0.2,0.3,114229,0.25342,0.00035,0.25307
Model B,CNN + Spatial GNN (theta=0.30),0.06121,0.22421,0.80785,4,0.3,0.4,23138,0.33521,0.00169,0.33353
Model B,CNN + Spatial GNN (theta=0.30),0.06121,0.22421,0.80785,5,0.4,0.5,4514,0.43637,0.00487,0.43149
Model B,CNN + Spatial GNN (theta=0.30),0.06121,0.22421,0.80785,6,0.5,0.6,930,0.5382,0.01505,0.52315
Model B,CNN + Spatial GNN (theta=0.30),0.06121,0.22421,0.80785,7,0.6,0.7,259,0.64069,0.02317,0.61753
Model B,CNN + Spatial GNN (theta=0.30),0.06121,0.22421,0.80785,8,0.7,0.8,82,0.74244,0.06098,0.68146
Model B,CNN + Spatial GNN (theta=0.30),0.06121,0.22421,0.80785,9,0.8,0.9,28,0.84356,0.03571,0.80785
Model B,CNN + Spatial GNN (theta=0.30),0.06121,0.22421,0.80785,10,0.9,1.0,4,0.92147,0.25,0.67147
Model C,CNN + Spatial GNN + Causal GRU (L=8),0.0209,0.12623,0.39774,1,0.0,0.1,82992,0.071,2e-05,0.07098
Model C,CNN + Spatial GNN + Causal GRU (L=8),0.0209,0.12623,0.39774,2,0.1,0.2,113686,0.13995,8e-05,0.13987
Model C,CNN + Spatial GNN + Causal GRU (L=8),0.0209,0.12623,0.39774,3,0.2,0.3,17540,0.23515,0.00108,0.23406
Model C,CNN + Spatial GNN + Causal GRU (L=8),0.0209,0.12623,0.39774,4,0.3,0.4,3679,0.3398,0.00652,0.33327
Model C,CNN + Spatial GNN + Causal GRU (L=8),0.0209,0.12623,0.39774,5,0.4,0.5,1079,0.44315,0.04541,0.39774
Model C,CNN + Spatial GNN + Causal GRU (L=8),0.0209,0.12623,0.39774,6,0.5,0.6,511,0.54506,0.31115,0.2339
Model C,CNN + Spatial GNN + Causal GRU (L=8),0.0209,0.12623,0.39774,7,0.6,0.7,270,0.64919,0.82593,0.17674
Model C,CNN + Spatial GNN + Causal GRU (L=8),0.0209,0.12623,0.39774,8,0.7,0.8,149,0.7366,1.0,0.2634
Model C,CNN + Spatial GNN + Causal GRU (L=8),0.0209,0.12623,0.39774,9,0.8,0.9,3,0.80725,1.0,0.19275
Model C,CNN + Spatial GNN + Causal GRU (L=8),0.0209,0.12623,0.39774,10,0.9,1.0,0,0.95,0.0,0.0
