model_id,model,suite,parameters,threshold,AUROC,AUPRC,sensitivity,specificity,precision,F1,balanced_accuracy,event_sensitivity,detected_events,total_events,mean_onset_delay_s,median_onset_delay_s,mean_completion_delay_s,raw_fp_windows,raw_fp_windows_per_24h,clinical_alarm_episodes,clinical_alarm_episodes_per_24h,is_collapsed_alert_state,monitoring_hours,patients,recordings
cnn_only,CNN-only (1D CNN),Spatial Ablation,173601,0.5,0.36389,0.04148,0.16013,0.94347,0.00816,0.01553,0.5518,0.40909,9,22,3.78,0.0,29.72,12395,1946.56,1452,228.03,False,152.82305555555556,4,155
cnn_gnn,CNN + Spatial GNN (θ=0.30),Spatial Ablation,52497,0.5,0.19431,0.00492,0.04239,0.99418,0.02072,0.02784,0.51828,0.22727,5,22,2.8,0.5,17.5,1276,200.39,181,28.43,False,152.82305555555556,4,155
model_c_spatial,Model C (CNN + GNN + GRU),Spatial Ablation,91858,0.5,0.9897,0.80681,0.8383,0.99818,0.57235,0.68025,0.91824,0.95455,21,22,6.05,4.0,79.74,399,62.66,47,7.38,False,152.82305555555556,4,155
gru,Spatial + Causal GRU,Temporal Comparison,91858,0.5,0.9834,0.7545,0.76766,0.99875,0.64173,0.69907,0.88321,0.95455,21,22,7.48,5.5,70.93,273,42.87,29,4.55,False,152.82305555555556,4,155
lstm,Spatial + Causal LSTM,Temporal Comparison,104274,0.5,0.98641,0.74638,0.82104,0.99726,0.4653,0.59398,0.90915,0.95455,21,22,5.52,3.0,76.76,601,94.38,60,9.42,False,152.82305555555556,4,155
tcn,Spatial + Causal TCN,Temporal Comparison,112914,0.5,0.98067,0.71582,0.87598,0.9964,0.41395,0.56222,0.93619,0.95455,21,22,4.74,3.0,86.17,790,124.07,75,11.78,False,152.82305555555556,4,155
eegnet,EEGNet,EEG-Specific Deep Learning,2113,0.5,0.82506,0.04037,0.59498,0.81417,0.00922,0.01815,0.70457,0.95455,21,22,3.02,0.0,53.86,40748,6399.24,976,153.28,False,152.82305555555556,4,155
shallowconvnet,ShallowConvNet,EEG-Specific Deep Learning,41041,0.5,0.84762,0.03687,0.54317,0.87588,0.01255,0.02454,0.70952,0.95455,21,22,4.5,0.0,52.69,27217,4274.28,1756,275.77,False,152.82305555555556,4,155
deepconvnet,DeepConvNet,EEG-Specific Deep Learning,178776,0.5,0.85335,0.07248,0.47724,0.89906,0.01355,0.02635,0.68815,0.63636,14,22,4.75,2.75,49.18,22134,3476.02,1647,258.65,False,152.82305555555556,4,155
cnn1d_eeg,Lightweight 1D CNN,EEG-Specific Deep Learning,173601,0.5,0.87227,0.08721,0.45055,0.93765,0.02056,0.03933,0.6941,0.68182,15,22,6.37,3.0,55.47,13672,2147.11,1431,224.73,False,152.82305555555556,4,155
random_forest,Random Forest (57 Features),Classical Machine Learning,Tabular,0.5,0.62465,0.00407,0.0,1.0,0.0,0.0,0.5,0.0,0,22,,,,0,0.0,0,0.0,False,152.82305555555556,4,155
xgboost,XGBoost (57 Features),Classical Machine Learning,Tabular,0.5,0.71778,0.0098,0.38932,0.90484,0.01175,0.0228,0.64708,0.68182,15,22,6.03,0.0,51.57,20867,3277.04,2121,333.09,False,152.82305555555556,4,155
lightgbm,LightGBM (57 Features),Classical Machine Learning,Tabular,0.5,0.69973,0.00692,0.02669,0.99516,0.01577,0.01983,0.51092,0.09091,2,22,21.75,21.75,29.25,1061,166.62,91,14.29,False,152.82305555555556,4,155
svm,Linear SVM (57 Features),Classical Machine Learning,Tabular,0.5,0.65417,0.01189,0.68446,0.50651,0.00401,0.00798,0.59549,0.81818,18,22,1.31,0.0,407.83,108208,16993.46,2013,316.13,False,152.82305555555556,4,155
bendr_transformer,BENDR Biosignal Transformer,Pretrained Foundation Model,2467521,0.1,0.58518,0.0046,1.0,0.0,0.0029,0.00578,0.5,1.0,22,22,0.0,0.0,1776.7,219272,34435.43,133,20.89,True,152.82305555555556,4,155
